sigla_uf,id_municipio,ano,populacao_atendida_agua,populacao_atendida_esgoto,receita_operacional_direta,receita_operacional_direta_agua,receita_operacional_direta_esgoto,receita_operacional_indireta,receita_operacional_direta_agua_exportada,receita_operacional,receita_operacional_direta_esgoto_importado,arrecadacao_total,credito_areceber,despesa_pessoal,quantidade_empregado,despesa_produto_quimico,despesa_energia,despesa_servico_terceiro,despesa_exploracao,despesas_juros_divida,despesa_total_servico,despesa_ativo,despesa_agua_importada,despesa_fiscal,despesa_fiscal_nao_computada,despesa_exploracao_outro,despesa_servico_outro,despesa_amortizacao_divida,despesas_juros_divida_excecao,despesa_divida_variacao,despesa_divida_total,despesa_esgoto_exportado,despesa_capitalizavel_municipio,despesa_capitalizavel_estado,despesa_capitalizavel_prestador,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
SE,2802106,2014,61998,1036,6178442.41,6178442.41,0.0,284534.35,0.0,6462976.76,0.0,6441398.21,1484903.75,3173052.16,95,78809.14,559858.49,1874183.98,5746218.84,0.0,5746218.84,0.0,0.0,60315.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153078.13,3702836.56,406994.78,560072.91,0.0,3702836.56,4262909.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
SE,2807501,2016,7381,4943,887228.78,813868.78,73360.0,567331.13,0.0,1454559.91,0.0,1049805.44,757808.47,498546.47,9,18997.72,356164.65,30979.0,1043400.18,0.0,1048546.2,5146.02,0.0,87022.32,0.0,51690.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3234587.56,0.0,0.0,35737.3,0.0,3198850.26,3234587.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,2603454,2010,116362,1985,11545912.53,11386171.65,159740.88,153.08,0.0,11546065.61,0.0,9320326.66,15588915.2,352.0,39,38657.7,2011113.26,1646519.17,4822964.96,288177.89,6498232.13,1387089.28,0.0,1106653.36,0.0,19669.47,0.0,156302.54,284648.55,3529.34,444480.43,0.0,,,493427.58,101403.59,0.0,14743.65,527355.12,0.0,82219.7,609574.82,,,,,,,,,,,,,,
PE,2606804,2007,54616,860,4173634.94,4114097.39,59537.55,230769.53,0.0,4404404.47,0.0,3567826.77,2175881.84,1040849.27,17,184275.33,1219179.76,1114188.98,4579634.4,39835.69,5569992.44,881237.63,0.0,421327.62,69284.72,599813.44,0.0,45173.56,39835.69,0.0,,0.0,,,56138.71,392724.01,0.0,0.0,392724.01,0.0,0.0,448862.72,,,,,,,,,,,,,,
PE,2610707,2007,247384,155988,37364753.57,18979251.79,18385501.78,1399689.8,0.0,38764443.37,0.0,22672822.02,10151136.63,7917968.4,91,717016.94,6967523.59,5198023.33,23541161.78,384854.86,31204924.47,4111235.94,0.0,2440629.52,669363.62,300000.0,2498308.27,436424.33,384854.86,0.0,,0.0,,,542359.23,0.0,383171.33,0.0,383171.33,0.0,0.0,925530.56,,,,,,,,,,,,,,
AL,2708600,2003,30070,19450,1977164.27,1690720.55,286443.72,0.0,0.0,1977164.27,,2137653.31,896725.25,675937.0,48,19093.1,226100.45,412005.55,,,,,0.0,,,,,,,,,,,,,162633.03,219595.89,27193.23,409422.15,0.0,0.0,409422.15,,,,,,,,,,,,,,
PE,2609501,2006,26051,958,1474706.46,1468850.81,5855.65,84555.63,0.0,1559262.09,,1453440.0,909437.38,663334.92,9,77980.8,320950.89,678759.25,1990981.17,24096.82,2372127.09,309907.75,0.0,147555.72,47141.35,102399.59,0.0,23650.23,24096.82,0.0,,,,,24074.94,572293.95,928590.66,16560.0,55612.86,0.0,1461831.75,1541519.55,,,,,,,,,,,,,,
PE,2611606,2005,1441045,660185,166770807.77,101407644.77,65363163.0,17264167.37,0.0,184034975.14,,166987150.0,77897655.58,18216838.6,238,1903207.17,5534332.66,28673370.0,70376724.56,2019621.4,96436684.42,15259554.78,0.0,8700067.9,3850464.31,7348908.23,4930319.37,1434075.17,2019621.4,0.0,,,,,1424261.77,6171946.15,8283908.34,1653252.22,6427255.12,981095.86,8700755.73,17533368.48,,,,,,,,,,,,,,
PE,2611903,2004,8513,2323,554173.3,552909.51,1263.79,35659.91,0.0,589833.21,,431090.0,842730.0,119705.63,14,21679.56,89757.06,49137.68,309147.44,7313.09,456459.69,134378.19,0.0,28867.5,5620.98,0.01,0.0,5728.58,7313.09,0.0,,,,,10937.67,0.0,0.0,0.0,0.0,0.0,0.0,10937.67,,,,,,,,,,,,,,
AL,2709152,2022,32000,28660,3642077.98,3642077.98,0.0,0.0,0.0,3642077.98,0.0,3642077.98,88804.44,1520535.12,74,366164.67,2642073.88,407705.26,4937549.49,0.0,5087517.92,0.0,0.0,1070.56,0.0,0.0,149968.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
